Booking_ID,Property,City,Region,Business_Model,Booking_Type,Check_In_Date,Year,Month,Quarter,Year_Quarter,Is_Weekend,Nightly_Rate_GHS,Nightly_Rate_USD,Nights_Stayed,Revenue_GHS,Pricing_Phase,Phase_Occupancy_Rate,Pricing_Note
BAR-B0072,Barekese,Kumasi,Ashanti Region,Short Stay / Event Hosting,Nightly Stay,2022-11-16,2022,November,Q4,2022-Q4,False,1200.0,120.0,7.0,1200,Phase 2 – First Adjustment,0.31,Moderate improvement
BAR-B0073,Barekese,Kumasi,Ashanti Region,Short Stay / Event Hosting,Nightly Stay,2022-11-13,2022,November,Q4,2022-Q4,True,1600.0,160.0,5.0,1600,Phase 2 – First Adjustment,0.31,Moderate improvement
BAR-B0074,Barekese,Kumasi,Ashanti Region,Short Stay / Event Hosting,Nightly Stay,2022-12-01,2022,December,Q4,2022-Q4,False,1200.0,120.0,2.0,1200,Phase 2 – First Adjustment,0.31,Moderate improvement
BAR-B0075,Barekese,Kumasi,Ashanti Region,Short Stay / Event Hosting,Nightly Stay,2022-07-05,2022,July,Q3,2022-Q3,False,1200.0,120.0,1.0,1200,Phase 2 – First Adjustment,0.31,Moderate improvement
BAR-B0076,Barekese,Kumasi,Ashanti Region,Short Stay / Event Hosting,Nightly Stay,2022-09-17,2022,September,Q3,2022-Q3,True,1600.0,160.0,1.0,1600,Phase 2 – First Adjustment,0.31,Moderate improvement
BAR-B0077,Barekese,Kumasi,Ashanti Region,Short Stay / Event Hosting,Nightly Stay,2022-08-31,2022,August,Q3,2022-Q3,False,1200.0,120.0,5.0,1200,Phase 2 – First Adjustment,0.31,Moderate improvement
BAR-B0078,Barekese,Kumasi,Ashanti Region,Short Stay / Event Hosting,Nightly Stay,2022-07-21,2022,July,Q3,2022-Q3,False,1200.0,120.0,1.0,1200,Phase 2 – First Adjustment,0.31,Moderate improvement
BAR-B0079,Barekese,Kumasi,Ashanti Region,Short Stay / Event Hosting,Nightly Stay,2022-11-02,2022,November,Q4,2022-Q4,False,1200.0,120.0,4.0,1200,Phase 2 – First Adjustment,0.31,Moderate improvement
BAR-B0080,Barekese,Kumasi,Ashanti Region,Short Stay / Event Hosting,Nightly Stay,2022-11-14,2022,November,Q4,2022-Q4,False,1200.0,120.0,4.0,1200,Phase 2 – First Adjustment,0.31,Moderate improvement
BAR-B0081,Barekese,Kumasi,Ashanti Region,Short Stay / Event Hosting,Nightly Stay,2022-08-02,2022,August,Q3,2022-Q3,False,1200.0,120.0,3.0,1200,Phase 2 – First Adjustment,0.31,Moderate improvement
BAR-B0082,Barekese,Kumasi,Ashanti Region,Short Stay / Event Hosting,Nightly Stay,2022-11-18,2022,November,Q4,2022-Q4,True,1600.0,160.0,1.0,1600,Phase 2 – First Adjustment,0.31,Moderate improvement
BAR-B0083,Barekese,Kumasi,Ashanti Region,Short Stay / Event Hosting,Nightly Stay,2022-12-24,2022,December,Q4,2022-Q4,True,1600.0,160.0,1.0,1600,Phase 2 – First Adjustment,0.31,Moderate improvement
BAR-B0084,Barekese,Kumasi,Ashanti Region,Short Stay / Event Hosting,Nightly Stay,2022-09-18,2022,September,Q3,2022-Q3,True,1600.0,160.0,2.0,1600,Phase 2 – First Adjustment,0.31,Moderate improvement
BAR-B0085,Barekese,Kumasi,Ashanti Region,Short Stay / Event Hosting,Nightly Stay,2022-12-19,2022,December,Q4,2022-Q4,False,1200.0,120.0,3.0,1200,Phase 2 – First Adjustment,0.31,Moderate improvement
BAR-B0086,Barekese,Kumasi,Ashanti Region,Short Stay / Event Hosting,Nightly Stay,2022-10-21,2022,October,Q4,2022-Q4,True,1600.0,160.0,5.0,1600,Phase 2 – First Adjustment,0.31,Moderate improvement
BAR-B0087,Barekese,Kumasi,Ashanti Region,Short Stay / Event Hosting,Nightly Stay,2022-10-24,2022,October,Q4,2022-Q4,False,1200.0,120.0,1.0,1200,Phase 2 – First Adjustment,0.31,Moderate improvement
BAR-B0088,Barekese,Kumasi,Ashanti Region,Short Stay / Event Hosting,Nightly Stay,2022-08-27,2022,August,Q3,2022-Q3,True,1600.0,160.0,1.0,1600,Phase 2 – First Adjustment,0.31,Moderate improvement
BAR-B0089,Barekese,Kumasi,Ashanti Region,Short Stay / Event Hosting,Nightly Stay,2022-07-06,2022,July,Q3,2022-Q3,False,1200.0,120.0,3.0,1200,Phase 2 – First Adjustment,0.31,Moderate improvement
BAR-E0090,Barekese,Kumasi,Ashanti Region,Short Stay / Event Hosting,Event Hosting,2022-08-28,2022,August,Q3,2022-Q3,True,,,,4000,Phase 2 – First Adjustment,0.31,Moderate improvement
BAR-B0091,Barekese,Kumasi,Ashanti Region,Short Stay / Event Hosting,Nightly Stay,2023-10-29,2023,October,Q4,2023-Q4,True,1200.0,96.0,1.0,1200,Phase 3 – Optimised Pricing,0.58,Strong occupancy after data-driven reprice
BAR-B0092,Barekese,Kumasi,Ashanti Region,Short Stay / Event Hosting,Nightly Stay,2023-02-06,2023,February,Q1,2023-Q1,False,900.0,72.0,3.0,900,Phase 3 – Optimised Pricing,0.58,Strong occupancy after data-driven reprice
BAR-B0093,Barekese,Kumasi,Ashanti Region,Short Stay / Event Hosting,Nightly Stay,2023-01-31,2023,January,Q1,2023-Q1,False,900.0,72.0,1.0,900,Phase 3 – Optimised Pricing,0.58,Strong occupancy after data-driven reprice
BAR-B0094,Barekese,Kumasi,Ashanti Region,Short Stay / Event Hosting,Nightly Stay,2023-01-17,2023,January,Q1,2023-Q1,False,900.0,72.0,5.0,900,Phase 3 – Optimised Pricing,0.58,Strong occupancy after data-driven reprice
BAR-B0095,Barekese,Kumasi,Ashanti Region,Short Stay / Event Hosting,Nightly Stay,2023-09-21,2023,September,Q3,2023-Q3,False,900.0,72.0,1.0,900,Phase 3 – Optimised Pricing,0.58,Strong occupancy after data-driven reprice
BAR-B0096,Barekese,Kumasi,Ashanti Region,Short Stay / Event Hosting,Nightly Stay,2023-12-09,2023,December,Q4,2023-Q4,True,1200.0,96.0,2.0,1200,Phase 3 – Optimised Pricing,0.58,Strong occupancy after data-driven reprice
BAR-B0097,Barekese,Kumasi,Ashanti Region,Short Stay / Event Hosting,Nightly Stay,2023-10-04,2023,October,Q4,2023-Q4,False,900.0,72.0,1.0,900,Phase 3 – Optimised Pricing,0.58,Strong occupancy after data-driven reprice
BAR-B0098,Barekese,Kumasi,Ashanti Region,Short Stay / Event Hosting,Nightly Stay,2023-10-20,2023,October,Q4,2023-Q4,True,1200.0,96.0,3.0,1200,Phase 3 – Optimised Pricing,0.58,Strong occupancy after data-driven reprice
BAR-B0099,Barekese,Kumasi,Ashanti Region,Short Stay / Event Hosting,Nightly Stay,2023-05-05,2023,May,Q2,2023-Q2,True,1200.0,96.0,4.0,1200,Phase 3 – Optimised Pricing,0.58,Strong occupancy after data-driven reprice
BAR-B0100,Barekese,Kumasi,Ashanti Region,Short Stay / Event Hosting,Nightly Stay,2023-07-28,2023,July,Q3,2023-Q3,True,1200.0,96.0,1.0,1200,Phase 3 – Optimised Pricing,0.58,Strong occupancy after data-driven reprice
BAR-B0101,Barekese,Kumasi,Ashanti Region,Short Stay / Event Hosting,Nightly Stay,2023-02-19,2023,February,Q1,2023-Q1,True,1200.0,96.0,3.0,1200,Phase 3 – Optimised Pricing,0.58,Strong occupancy after data-driven reprice
BAR-B0102,Barekese,Kumasi,Ashanti Region,Short Stay / Event Hosting,Nightly Stay,2023-07-01,2023,July,Q3,2023-Q3,True,1200.0,96.0,2.0,1200,Phase 3 – Optimised Pricing,0.58,Strong occupancy after data-driven reprice
BAR-B0103,Barekese,Kumasi,Ashanti Region,Short Stay / Event Hosting,Nightly Stay,2023-08-28,2023,August,Q3,2023-Q3,False,900.0,72.0,5.0,900,Phase 3 – Optimised Pricing,0.58,Strong occupancy after data-driven reprice
BAR-B0104,Barekese,Kumasi,Ashanti Region,Short Stay / Event Hosting,Nightly Stay,2023-01-28,2023,January,Q1,2023-Q1,True,1200.0,96.0,3.0,1200,Phase 3 – Optimised Pricing,0.58,Strong occupancy after data-driven reprice
BAR-B0105,Barekese,Kumasi,Ashanti Region,Short Stay / Event Hosting,Nightly Stay,2023-11-27,2023,November,Q4,2023-Q4,False,900.0,72.0,1.0,900,Phase 3 – Optimised Pricing,0.58,Strong occupancy after data-driven reprice
BAR-B0106,Barekese,Kumasi,Ashanti Region,Short Stay / Event Hosting,Nightly Stay,2023-07-26,2023,July,Q3,2023-Q3,False,900.0,72.0,3.0,900,Phase 3 – Optimised Pricing,0.58,Strong occupancy after data-driven reprice
BAR-B0107,Barekese,Kumasi,Ashanti Region,Short Stay / Event Hosting,Nightly Stay,2023-02-25,2023,February,Q1,2023-Q1,True,1200.0,96.0,1.0,1200,Phase 3 – Optimised Pricing,0.58,Strong occupancy after data-driven reprice
BAR-B0108,Barekese,Kumasi,Ashanti Region,Short Stay / Event Hosting,Nightly Stay,2023-04-08,2023,April,Q2,2023-Q2,True,1200.0,96.0,2.0,1200,Phase 3 – Optimised Pricing,0.58,Strong occupancy after data-driven reprice
BAR-B0109,Barekese,Kumasi,Ashanti Region,Short Stay / Event Hosting,Nightly Stay,2023-03-13,2023,March,Q1,2023-Q1,False,900.0,72.0,2.0,900,Phase 3 – Optimised Pricing,0.58,Strong occupancy after data-driven reprice
BAR-B0110,Barekese,Kumasi,Ashanti Region,Short Stay / Event Hosting,Nightly Stay,2023-05-23,2023,May,Q2,2023-Q2,False,900.0,72.0,2.0,900,Phase 3 – Optimised Pricing,0.58,Strong occupancy after data-driven reprice
BAR-B0111,Barekese,Kumasi,Ashanti Region,Short Stay / Event Hosting,Nightly Stay,2023-02-08,2023,February,Q1,2023-Q1,False,900.0,72.0,2.0,900,Phase 3 – Optimised Pricing,0.58,Strong occupancy after data-driven reprice
BAR-B0112,Barekese,Kumasi,Ashanti Region,Short Stay / Event Hosting,Nightly Stay,2023-10-09,2023,October,Q4,2023-Q4,False,900.0,72.0,1.0,900,Phase 3 – Optimised Pricing,0.58,Strong occupancy after data-driven reprice
BAR-B0113,Barekese,Kumasi,Ashanti Region,Short Stay / Event Hosting,Nightly Stay,2023-11-30,2023,November,Q4,2023-Q4,False,900.0,72.0,7.0,900,Phase 3 – Optimised Pricing,0.58,Strong occupancy after data-driven reprice
BAR-B0114,Barekese,Kumasi,Ashanti Region,Short Stay / Event Hosting,Nightly Stay,2023-01-08,2023,January,Q1,2023-Q1,True,1200.0,96.0,7.0,1200,Phase 3 – Optimised Pricing,0.58,Strong occupancy after data-driven reprice
BAR-B0115,Barekese,Kumasi,Ashanti Region,Short Stay / Event Hosting,Nightly Stay,2023-05-02,2023,May,Q2,2023-Q2,False,900.0,72.0,1.0,900,Phase 3 – Optimised Pricing,0.58,Strong occupancy after data-driven reprice
BAR-B0116,Barekese,Kumasi,Ashanti Region,Short Stay / Event Hosting,Nightly Stay,2023-09-06,2023,September,Q3,2023-Q3,False,900.0,72.0,2.0,900,Phase 3 – Optimised Pricing,0.58,Strong occupancy after data-driven reprice
